Code,region,region all,epidemic_region,activity_level_of_mite,percentage_of_mite,density,mean_wage,Ev_znmean,Biomean,anthropmea,mean
22,Алтайский край,68,68,9,86.1,13.67,29058,380.3072890057445,20.897331475726077,38.2797507788162,2670.015969989282
28,Амурская область,28,16,6,57.1,2.16,50584,475.6059409194712,-58.66480336968075,54.22511376564277,2616.8292567647404
29,Архангельская область,25,20,8,72.0,2.62,50840,317.35094357425174,-33.261237180885885,56.68202006909032,2217.450952938824
30,Астраханская область,0,0,1,10.0,20.35,37765,213.5833282855816,95.4211956521739,40.8835690968444,2618.2544861337683
31,Белгородская область,0,0,2,20.0,56.8,36232,474.20114630467566,66.92158054711246,31.89068825910931,2783.5550151975685
32,Брянская область,0,0,2,10.0,33.93,31080,495.751600321553,55.698412698412696,34.27286356821589,2912.3775203775203
33,Владимирская область,0,0,2,10.0,46.15,33556,471.2500455169903,44.61895996318454,36.960591133004925,2830.807639208468
34,Волгоградская область,0,0,1,10.0,21.92,34447,346.8124514888295,76.27598135057903,35.20108964834076,2537.70523623232
35,Вологодская область,30,30,10,100.0,7.96,41215,445.45439681418657,23.74094247751093,48.824060150375935,2359.970407824934
36,Воронежская область,0,0,2,10.0,44.16,35249,441.5687518825106,65.93822505800465,32.11203319502075,2578.612819025522
77,г. Москва,0,0,3,10.0,4941.45,98633,490.19325971058646,44.46774193548387,20.629629629629633,2605.2258064516127
79,Еврейская автономная область,6,6,10,100.0,4.31,44827,539.7023105257283,2.154460093896714,51.443037974683534,2952.6427230046947
75,Забайкальский край,32,24,8,75.0,2.44,45572,358.16414567445423,-55.51641504912533,52.52208544532947,2477.0848484848484
37,Ивановская область,27,3,2,10.0,46.06,27890,460.83257034995984,41.17930204572804,35.37960954446854,2900.6738868832726
38,Иркутская область,36,30,9,83.3,3.07,48144,353.0364154576006,-43.93111611040226,55.00717879494417,2245.7674262284063
7,Кабардино-Балкарская Республика,0,0,1,10.0,69.7,28935,600.5089240950566,57.404006677796325,36.60696517412935,3054.717863105175
39,Калининградская область,22,22,10,100.0,67.35,35957,502.30892143808256,69.640522875817,33.6578073089701,3395.9227557411277
40,Калужская область,0,0,2,10.0,33.62,42754,496.2283546864464,47.110746128578135,37.084717607973424,2890.663068981699
41,Камчатский край,0,0,1,10.0,0.67,81336,316.0259067654903,-75.17595414308518,56.99924521181244,3096.538411692706
9,Карачаево-Черкесская Республика,0,0,1,10.0,32.59,28808,661.7057620332492,30.96366508688784,41.95175438596491,3020.9431279620853
42,Кемеровская область - Кузбасс,34,34,10,100.0,27.51,42912,426.41379310344826,11.416294160057678,45.78950103950104,2731.7784828381887
43,Кировская область,40,40,10,100.0,10.39,31375,442.98640961632185,23.37002172338885,45.05137751303053,2650.418744181235
44,Костромская область,24,24,2,10.0,10.44,31483,451.209214303381,29.694102938112103,47.28592927012792,2678.0365115793866
23,Краснодарский край,0,0,3,10.0,75.3,37211,562.4250591206061,105.2064301117428,34.33614735226401,2719.707416780222
24,Красноярский край,61,57,9,93.4,1.21,52177,284.42674209326503,-85.43036336525824,59.15198332854269,2775.256008834352
45,Курганская область,26,19,8,73.1,11.45,31819,351.34774859671404,20.205016150484514,35.32491467576792,2546.5477004941085
46,Курская область,0,0,2,10.0,36.55,34586,504.99440584357745,59.52563464410154,31.962897526501767,2901.484818317571
47,Ленинградская область,17,17,10,100.0,22.56,47493,437.068569414721,37.36572320035658,45.98132427843803,1698.4493670886077
48,Липецкая область,0,0,2,10.0,46.92,36161,476.5969309018193,55.85748792270532,32.148148148148145,2745.0519323671497
49,Магаданская область,0,0,1,10.0,0.3,98628,278.1207701103777,-131.700244787341,57.46629117596859,2614.063984615721
50,Московская область,53,2,3,10.0,173.89,56574,485.3211078500088,44.97025796661608,31.589207048458153,2841.5623672230654
51,Мурманская область,0,0,2,10.0,5.06,66555,315.01569615523925,-7.44446318630345,52.43383509323748,2561.538696369637
83,Ненецкий автономный округ,0,0,1,10.0,0.25,89295,297.9238010539212,-25.556935038876347,60.13871209284912,3005.530076941012
52,Нижегородская область,50,31,6,58.4,41.46,36851,455.8800820101204,41.75425199583478,39.14928169893816,2731.391077937858
53,Новгородская область,24,24,10,100.0,10.87,32362,466.79201554408405,41.69548268745701,46.504556752278376,2626.5019490942445
54,Новосибирская область,33,23,7,66.7,15.67,40091,355.5742465132853,5.694868011149369,41.35565434843012,2902.452777549848
55,Омская область,33,16,6,48.5,13.49,36690,366.3335989158784,5.729733054496248,41.866235534377125,2813.836019190552
56,Оренбургская область,47,7,2,10.0,15.71,34273,337.8037526783504,40.229139457263095,35.88333333333333,2635.8660571760265
57,Орловская область,0,0,2,10.0,29.4,30928,505.2215290261182,53.455830388692576,32.41860465116279,2992.4528857479386
58,Пензенская область,0,0,1,10.0,29.78,32452,455.99580982310795,46.97909060736807,33.88703923900119,2839.7135745104547
59,Пермский край,47,47,10,100.0,16.1,40054,448.1552937744904,16.133925835121055,47.102649006622514,2614.9243027888447
25,Приморский край,32,32,10,100.0,11.4,48408,572.5504387895865,20.32827966420248,50.97311046511628,2769.803327171904
60,Псковская область,26,26,10,100.0,11.2,30682,472.6658301647655,46.728674540682405,44.5446735395189,2750.8762376237623
1,Республика Адыгея (Адыгея),0,0,1,10.0,59.44,30991,647.9980401379743,89.21318681318682,38.07142857142857,2969.252747252747
4,Республика Алтай,11,11,10,100.0,2.38,34864,379.7339968797288,-23.06111736032996,49.23225806451613,2643.7562804649415
2,Республика Башкортостан,68,42,7,61.7,28.08,37862,431.9100463711168,29.17179236043095,38.54471830985916,2811.239051631233
3,Республика Бурятия,22,22,9,86.1,2.8,40651,366.3068081279612,-50.414159804692346,53.69908116385911,2180.687430856948
5,Республика Дагестан,0,0,1,10.0,62.33,28799,378.1924023671017,78.41037306642403,37.66547619047619,2831.2537517053206
6,Республика Ингушетия,0,0,1,10.0,165.09,29050,634.1720964476348,66.3006993006993,37.264150943396224,3050.3426573426573
8,Республика Калмыкия,0,0,1,10.0,3.61,30329,261.2880188314307,99.49253731343283,40.95819397993312,2646.5363027806384
10,Республика Карелия,18,13,7,61.1,3.37,44914,379.1889482827445,3.278602860286028,51.745179399560655,2130.0456465833945
11,Республика Коми,20,8,4,35.0,1.95,55327,378.03307058576866,-8.472856365473815,55.950637374559264,2614.0382546169367
91,Республика Крым,25,9,5,40.0,72.91,33452,404.8536642254047,111.09536082474229,32.88174273858921,2611.5483606557377
12,Республика Марий Эл,17,11,6,52.9,28.89,31308,453.1068245040509,37.43742953776776,40.4188376753507,2590.0355129650507
13,Республика Мордовия,0,0,1,10.0,29.81,30101,459.0925972203533,44.28027867095391,34.94252873563219,2954.985530546624
14,Республика Саха (Якутия),0,0,1,10.0,0.32,75189,258.1147692183942,-126.7857708205083,57.50345517471341,2584.848052374863
15,Республика Северная Осетия - Алания,0,0,1,10.0,86.78,29649,649.4297390757623,45.16838487972509,37.412213740458014,2885.9072164948448
16,Республика Татарстан (Татарстан),45,30,6,57.7,57.4,38888,455.1920653459065,37.59,33.2203513909224,2806.591419406576
17,Республика Тыва,18,13,7,72.2,1.96,41780,363.0700244607516,-57.15115391951173,52.33958068614994,2334.593896041965
19,Республика Хакасия,13,10,8,76.9,8.64,42137,390.3045852438516,-1.962645011600928,48.37468566638726,2414.7245939675167
61,Ростовская область,0,0,2,10.0,41.41,34935,406.8506785255822,91.80094043887149,32.85339418140331,2465.6758620689657
62,Рязанская область,0,0,2,10.0,27.73,35489,473.7262808829486,48.47588877155931,35.983418367346935,2960.1802182330166
63,Самарская область,35,26,8,74.2,58.88,37732,430.01282187033746,46.900481540930976,33.247830279652845,2580.781526104417
78,Санкт-Петербург,18,6,10,100.0,3837.73,66786,431.19571865443424,44.717391304347835,18.951219512195124,1753.162162162162
64,Саратовская область,0,0,1,10.0,23.66,31446,385.1544791165063,58.52923274066954,33.84477296726505,2561.9905479013137
65,Сахалинская область,18,15,8,78.9,5.58,89378,434.71485573772617,13.28772258669166,52.48648648648648,2326.7205438066467
66,Свердловская область,94,94,10,100.0,22.08,42423,431.93174144423296,10.797335564422706,48.77996298010181,2512.1259011328525
92,Севастополь,4,4,5,40.0,590.27,35521,446.0235378031384,94.77777777777776,28.4,2406.4074074074074
67,Смоленская область,0,0,2,10.0,18.5,32454,492.95178759514306,47.57559988435964,38.90476190476191,2943.209598149754
26,Ставропольский край,0,0,3,10.0,42.21,33080,393.41778521946327,99.51112247507032,33.75763182238668,2674.6397340833546
68,Тамбовская область,0,0,2,10.0,28.86,29843,454.4025095207028,55.672290172922814,33.153614457831324,2601.804301982286
69,Тверская область,37,12,4,35.2,14.79,34377,478.8160212195704,38.476381599259035,43.3757643135075,2713.684421800216
70,Томская область,20,20,10,100.0,3.4,45897,419.7181030601447,-11.868649466475553,53.08086756679114,2591.859053989489
71,Тульская область,0,0,2,10.0,56.43,39013,496.6099344029084,49.12204507971413,31.781124497991968,3056.2765255634963
72,Тюменская область,23,23,10,100.0,9.64,49817,395.36480231910167,9.821852922286448,48.07407407407408,2671.940586109996
18,Удмуртская Республика,29,29,10,100.0,35.5,35445,448.820188924286,29.132511556240367,38.39024390243903,2905.940215716487
73,Ульяновская область,24,5,3,20.0,32.77,31976,450.77591621606854,41.95060790273556,34.84840055632824,2896.859749144812
27,Хабаровский край,19,16,9,84.2,1.65,51843,436.89259417940576,-77.88459983088858,57.33238779626828,2451.9075215332005
86,Ханты-Мансийский автономный округ - Югра,22,19,9,86.3,3.16,77104,393.6495290779429,-17.206445605941976,56.290132435122096,2517.9981378026077
74,Челябинская область,39,39,10,100.0,38.89,38164,390.47990677467527,13.273173046504272,37.23959505061868,2790.028313824739
20,Чеченская Республика,0,0,1,10.0,92.63,28794,471.4817879483728,81.9376498800959,37.8804780876494,3070.039568345324
21,Чувашская Республика - Чувашия,0,0,1,10.0,65.85,31059,451.6550358756312,39.15770081061165,34.145888594164454,3139.2380250552687
87,Чукотский автономный округ,0,0,1,10.0,0.07,115739,221.6598121828335,-140.85366044834615,58.13311299516214,2628.8152644602537
89,Ямало-Ненецкий автономный округ,0,0,1,10.0,0.71,106419,275.3408752035471,-57.20972780008925,59.31119740464019,2953.1646856403213
76,Ярославская область,23,18,8,78.2,34.32,37008,462.6443809886414,36.254506892895016,39.78714859437751,2695.8258547008545
