Наименование;Region_full;Код;Город;Широта;Долгода
Коми Респ;Коми республика;11;Сыктывкар;61.6764200;50.8099400
Севастополь;Севастополь;92;Севастополь;44.616649;33.52536 
Пермский край;Пермский  край;59;Пермь;58.004785;56.237654
Челябинская обл;Челябинская область;74;Челябинск;55.159774;61.402455
Московская область;Московская областьасть;50;Москва;55.755773;37.617761
Владимирская обл;Владимирская область;33;Владимир;56.129042;40.40703 
Смоленская обл;Смоленская область;67;Смоленск;54.7818;32.0401
Тульская обл;Тульская область;71;Тула;54.193033;37.617752
Орловская обл;Орловская область;57;Орел;52.970306;36.063514
Оренбургская обл;Оренбургская область;56;Оренбург;51.76806;55.097449
Самарская обл;Самарская область;63;Самара;53.195533;50.101801 
Саратовская обл;Саратовская область;64;Саратов;51.531528;46.03582 
Тюменская обл;Тюменская область;72;Тюмень;57.153033;65.534328 
Брянская обл;Брянская область;32;Брянск;53.2434;34.364198
Пензенская обл;Пензенская область;58;Пенза;53.194546;45.019529 
Кемеровская обл;Кемеровская область;42;Кемерово;55.359594;86.08778100000001
Краснодарский край;Краснодарский край;23;Краснодар;45.023877;38.970157
Алтайский край;Алтайский край;22;Барнаул;53.356132;83.74961999999999
Удмуртская Респ;Удмуртская республика;18;Ижевск;56.852775;53.211463 
Астраханская обл;Астраханская область;30;Астрахань;46.347869;48.033574 
Кабардино-Балкарская Респ;Кабардино-Балкарская республика;7;Нальчик;43.4980600;43.6188900
Приморский край;Приморский край;25;Владивосток;43.134019;131.928379
Иркутская обл;Иркутская область;38;Иркутск;52.286387;104.28066 
Еврейская АО;Еврейская автономная область;79;Биробиджан;48.7928400;132.9238600
Чеченская Респ;Чеченская республика;20;Грозный;43.317992;45.698197 
Москва;Москва;77;Москва;55.755773;37.617761
Липецкая обл;Липецкая область;48;Липецк;52.61022;39.594719
Калининградская обл;Калининградская область;39;Калининград;55.916229;37.854467
Красноярский край;Красноярский край;24;Красноярск;56.008691;92.870529
Ярославская обл;Ярославская область;76;Ярославль;57.626569;39.893822
Ростовская обл;Ростовская область;61;Ростов-на-Дону;47.227151;39.744972
Рязанская обл;Рязанская область;62;Рязань;54.619886;39.744954
Нижегородская обл;Нижегородская область;52;Нижний Новгород;56.323902;44.002267
Курганская обл;Курганская область;45;Курган;55.4500000;65.3333300
Белгородская обл;Белгородская область;31;Белгород;50.597467;36.588849
Ханты-Мансийский АО;Ханты-Мансийский автономная область;86;Ханты-Мансийск;61.00417;69.00194
Чувашская Респ;Чувашская республика;21;Чебоксары;56.1439;47.248887
Татарстан Респ;Татарстан республика;16;Казань;55.795793;49.106585 
Башкортостан Респ;Башкортостан республика;2;Уфа;54.734768;55.957838 
Тыва Респ;Тыва республика;17;Кызыл;51.7147200;94.4533800
Волгоградская обл;Волгоградская область;34;Волгоград;48.707103;44.516939 
Крым Респ;Крым республика;91;Симферополь;44.952116;34.102411 
Ямало-Ненецкий АО;Ямало-Ненецкий автономная область;89;Салехард;66.5300000;66.6019400
Адыгея Респ;Адыгея республика;1;Майкоп;44.6077800;40.1058300
Санкт-Петербург;Санкт-Петербург;78;Санкт-Петербург;59.938806;30.314278
Кировская обл;Кировская область;43;Киров;54.079033;34.323163
Новосибирская обл;Новосибирская область;54;Новосибирск;55.028739;82.90692799999999
Свердловская обл;Свердловская область;66;Екатеринбург;56.838002;60.597295
Курская обл;Курская область;46;Курск;51.730361;36.192647
Северная Осетия Респ;Северная Осетия республика;15;Владикавказ;43.024122;44.690476
Калужская обл;Калужская область;40;Калуга;54.507014;36.252277
Ставропольский край;Ставропольский край;26;Ставрополь;45.044502;41.969065
Костромская обл;Костромская область;44;Кострома;57.767683;40.926418
Хакасия Респ;Хакасия республика;19;Абакан;53.720976;91.44242300000001
Ульяновская обл;Ульяновская область;73;Ульяновск;54.317002;48.402243 
Воронежская обл;Воронежская область;36;Воронеж;51.661535;39.200287
Ивановская обл;Ивановская область;37;Иваново;57.000348;40.973921
Тамбовская обл;Тамбовская область;68;Тамбов;52.721246;41.452238
Томская обл;Томская область;70;Томск;56.495116;84.972128
Хабаровский край;Хабаровский край;27;Хабаровск;48.472584;135.057732 
Забайкальский край;Забайкальский край;75;Чита;52.0317100;113.5008700
Тверская обл;Тверская область;69;Тверь;56.859611;35.911896
Мордовия Респ;Мордовия республика;13;Саранск;54.1838000;45.1749000
Омская обл;Омская область;55;Омск;54.989342;73.368212 
Дагестан Респ;Дагестан республика;5;Махачкала;42.984913;47.504646
Алтай Респ;Алтай республика;4;Горно-Алтайск;51.9605600;85.9189200
Сахалинская обл;Сахалинская область;65;Южно-Сахалинск;46.9540700;142.738068 
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A
;;#N/A;;#N/A;#N/A